task_id,prompt_id,prompt
AVI1_story1,0-0-nog,nog
AVI1_story1,0-1-een,een
AVI1_story1,0-2-dag,dag
AVI1_story1,0-3-of,of
AVI1_story1,0-4-vier,vier
AVI1_story1,1-0-dan,dan
AVI1_story1,1-1-is,is
AVI1_story1,1-2-jan,jan
AVI1_story1,1-3-zes,zes
AVI1_story1,1-4-jaar,jaar
AVI1_story1,2-0-ik,ik
AVI1_story1,2-1-geef,geef
AVI1_story1,2-2-je,je
AVI1_story1,2-3-iets,iets
AVI1_story1,2-4-zegt,zegt
AVI1_story1,2-5-lies,lies
AVI1_story1,3-0-weet,weet
AVI1_story1,3-1-je,je
AVI1_story1,3-2-al,al
AVI1_story1,3-3-wat,wat
AVI1_story1,3-4-je,je
AVI1_story1,3-5-wilt,wilt
AVI1_story1,4-0-dat,dat
AVI1_story1,4-1-weet,weet
AVI1_story1,4-2-jan,jan
AVI1_story1,4-3-wel,wel
AVI1_story1,5-0-een,een
AVI1_story1,5-1-bal,bal
AVI1_story1,5-2-of,of
AVI1_story1,5-3-een,een
AVI1_story1,5-4-beer,beer
AVI1_story1,6-0-een,een
AVI1_story1,6-1-pen,pen
AVI1_story1,6-2-of,of
AVI1_story1,6-3-een,een
AVI1_story1,6-4-boek,boek
AVI1_story1,7-0-of,of
AVI1_story1,7-1-een,een
AVI1_story1,7-2-vis,vis
AVI1_story1,7-3-in,in
AVI1_story1,7-4-een,een
AVI1_story1,7-5-kom,kom
AVI1_story1,8-0-wat,wat
AVI1_story1,8-1-een,een
AVI1_story1,8-2-lijst,lijst
AVI1_story1,8-3-roept,roept
AVI1_story1,8-4-lies,lies
AVI1_story1,9-0-ik,ik
AVI1_story1,9-1-kies,kies
AVI1_story1,9-2-wel,wel
AVI1_story1,9-3-iets,iets
AVI1_story1,10-0-en,en
AVI1_story1,10-1-stop,stop
AVI1_story1,10-2-het,het
AVI1_story1,10-3-in,in
AVI1_story1,10-4-een,een
AVI1_story1,10-5-doos,doos
AVI1_story1,10-6-zegt,zegt
AVI1_story1,10-7-ze,ze
AVI1_story1,11-0-nu,nu
AVI1_story1,11-1-is,is
AVI1_story1,11-2-het,het
AVI1_story1,11-3-feest,feest
AVI1_story1,12-0-jan,jan
AVI1_story1,12-1-is,is
AVI1_story1,12-2-zes,zes
AVI1_story1,12-3-jaar,jaar
AVI1_story1,13-0-hij,hij
AVI1_story1,13-1-heeft,heeft
AVI1_story1,13-2-een,een
AVI1_story1,13-3-kroon,kroon
AVI1_story1,14-0-en,en
AVI1_story1,14-1-er,er
AVI1_story1,14-2-is,is
AVI1_story1,14-3-taart,taart
AVI1_story1,14-4-en,en
AVI1_story1,14-5-snoep,snoep
AVI1_story1,15-0-lies,lies
AVI1_story1,15-1-geeft,geeft
AVI1_story1,15-2-de,de
AVI1_story1,15-3-doos,doos
AVI1_story1,15-4-aan,aan
AVI1_story1,15-5-jan,jan
AVI1_story1,16-0-geen,geen
AVI1_story1,16-1-bal,bal
AVI1_story1,16-2-of,of
AVI1_story1,16-3-beer,beer
AVI1_story1,16-4-geen,geen
AVI1_story1,16-5-pen,pen
AVI1_story1,16-6-of,of
AVI1_story1,16-7-boek,boek
AVI1_story1,17-0-maar,maar
AVI1_story1,17-1-een,een
AVI1_story1,17-2-kom,kom
AVI1_story1,17-3-voor,voor
AVI1_story1,17-4-een,een
AVI1_story1,17-5-vis,vis
AVI1_story1,18-0-zes,zes
AVI1_story1,18-1-jaar,jaar
AVI1_story1,18-2-zijn,zijn
AVI1_story1,18-3-is,is
AVI1_story1,18-4-heel,heel
AVI1_story1,18-5-fijn,fijn
